/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:343: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, act, adv, logp_old = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'),torch.tensor(data['act'],dtype=torch.float,device='cuda:0'), torch.tensor(data['adv'],dtype=torch.float,device='cuda:0'), torch.tensor(data['logp'],dtype=torch.float,device='cuda:0')
/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:363: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, ret = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'), torch.tensor(data['ret'],dtype=torch.float,device='cuda:0')
119 118.67363705495913 0.218 -1.187 0.0

120 130.9883127595562 0.345 -0.636 0.0
121 880.5374316863138 0.009 0.285 0.0
122 51.502373417177985 0.151 -4.296 0.0
123 889.5327824571555 0.155 -8.85 0.0
124 249.37976836916005 0.343 -2.019 0.0
125 874.0559857588862 0.114 -0.391 0.0
126 868.2696565671142 0.222 -4.916 0.0
127 565.118144685912 0.058 -1.833 0.0
128 874.9495645837562 0.323 -0.205 0.0
129 851.6729455692528 0.134 -4.082 0.0
130 861.3972887350751 0.009 -0.542 0.0
131 864.7065170049591 0.003 -0.374 0.0
132 206.30927007252728 0.231 -0.485 0.0
133 883.7706080325689 0.173 -0.778 0.0
134 874.0879708654829 0.386 -0.527 0.0
135 869.7140715232022 0.129 -0.38 0.0
136 10.674443101136717 0.028 -4.03 0.0
137 155.0695778268766 0.107 -0.23 0.0
138 866.6856920686039 0.262 -2.652 0.0
139 76.28986938228815 0.418 -0.001 0.0
140 834.3718382697703 0.146 -8.554 0.0

141 152.59151596470574 0.362 -4.895 0.0
142 33.164279307361014 0.159 -3.25 0.0
143 852.0475959081231 0.122 -0.153 0.0
144 861.804663975417 0.207 -0.488 0.0
145 172.96158746283487 0.343 0.229 0.0
146 88.07411358287968 0.34 -0.193 0.0
