/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:251: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, act, adv, logp_old = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'),torch.tensor(data['act'],dtype=torch.float,device='cuda:0'), torch.tensor(data['adv'],dtype=torch.float,device='cuda:0'), torch.tensor(data['logp'],dtype=torch.float,device='cuda:0')
/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:271: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, ret = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'), torch.tensor(data['ret'],dtype=torch.float,device='cuda:0')
83 427.4518373185592 0.028 1.58 -0.0 tensor(304.9649)
84 407.71111280619607 0.015 -8.962 -0.002 tensor(294.4231)
85 399.83970079339144 0.025 -2.077 -0.0 tensor(288.2102)
86 392.72010195984456 0.023 -6.686 -0.001 tensor(283.4425)
87 391.393757498789 0.019 -1.292 -0.0 tensor(283.9668)
88 405.330866956299 0.024 -10.745 -0.0 tensor(292.0271)
89 388.36934938544834 0.015 -4.097 -0.0 tensor(281.3150)
90 386.3496216898814 0.019 -3.662 -0.0 tensor(279.9819)
91 397.67292874287136 0.015 1.276 -0.0 tensor(286.4391)
92 394.16084687867146 0.02 -22.118 -0.0 tensor(284.2529)
93 384.0752470052752 0.02 0.501 0.0 tensor(278.3429)
94 387.94901886620084 0.02 -20.831 -0.0 tensor(279.2139)
95 387.77784674189104 0.019 -0.112 -0.0 tensor(279.9384)
96 390.8111317886711 0.024 -32.109 -0.0 tensor(280.9767)
97 394.68542035515304 0.015 -1.445 -0.0 tensor(285.1952)
98 375.6078950904305 0.026 -6.026 -0.0 tensor(271.7233)
99 390.90284636250067 0.016 2.516 -0.0 tensor(281.3565)
100 402.04055435709824 0.026 -7.891 -0.0 tensor(288.4737)
101 409.51995028721353 0.014 -0.543 -0.0 tensor(292.9636)
102 408.9758998620557 0.015 1.197 -0.0 tensor(291.1667)
103 415.7369161924503 0.019 -18.412 0.001 tensor(296.7386)
104 407.7035771015287 0.025 -2.146 -0.0 tensor(291.6712)
105 419.0114702786482 0.02 -1.384 -0.0 tensor(298.4664)
106 443.9281399403022 0.028 -23.991 -0.0 tensor(312.9741)
107 452.121073356828 0.027 0.075 -0.0 tensor(317.5345)
108 441.66850085420424 0.018 -26.473 -0.0 tensor(310.4031)
109 447.9256928593718 0.013 -1.549 -0.0 tensor(313.5447)
110 458.3704245758744 0.024 -1.451 -0.0 tensor(320.1299)
111 468.94537500875754 0.015 -10.17 0.0 tensor(326.7802)
112 465.2734477929004 0.016 -1.759 -0.0 tensor(324.8663)
113 462.52305774023307 0.02 -2.049 0.002 tensor(324.5180)
114 464.7085434842158 0.017 -0.032 -0.001 tensor(323.8755)
115 457.23993695227824 0.027 -7.0 0.003 tensor(320.5635)
116 454.13936361825154 0.027 -2.727 -0.0 tensor(320.0110)
117 461.3045469313355 0.02 -5.282 -0.0 tensor(323.1342)
118 467.97990575838855 0.021 2.247 -0.0 tensor(327.8564)
119 481.8582604036336 0.028 -11.525 -0.0 tensor(334.2624)
120 485.3078773902658 0.018 0.113 -0.0 tensor(335.9724)
121 474.85012465401934 0.017 -28.74 0.0 tensor(330.2250)
122 499.52299319929296 0.024 -1.333 0.001 tensor(344.6993)
123 504.2423980628181 0.021 -3.337 -0.0 tensor(346.3865)
124 484.01014393851085 0.022 -7.388 -0.001 tensor(335.8564)
125 491.7784883235123 0.024 0.174 0.0 tensor(339.2490)
126 497.5436107014003 0.018 -14.655 -0.0 tensor(343.7977)
127 509.4779750809085 0.025 -0.041 -0.0 tensor(348.9498)
128 505.47667170055286 0.026 2.919 -0.0 tensor(347.3438)
129 528.8982145744652 0.023 -15.649 -0.0 tensor(359.7096)
130 514.2811161632075 0.023 -5.004 -0.0 tensor(351.6005)
131 498.1052736482489 0.017 -4.063 -0.0 tensor(343.1069)
132 489.482175834457 0.017 -5.057 -0.0 tensor(339.5996)
133 506.44570500655607 0.023 1.183 0.0 tensor(349.7280)
134 490.37606039281013 0.027 -9.013 -0.0 tensor(341.9757)
135 479.06328136909485 0.026 -2.243 -0.0 tensor(335.5109)
136 464.75213553344645 0.018 -5.35 -0.0 tensor(325.4615)
137 480.5070226488026 0.03 1.447 -0.0 tensor(334.7562)
138 466.5475809879072 0.021 0.311 -0.0 tensor(328.7751)
139 461.29519200951506 0.016 -4.738 -0.0 tensor(325.7852)
140 453.5442461546946 0.019 0.423 0.001 tensor(320.6621)
141 453.0845858793533 0.022 -6.001 -0.0 tensor(319.4053)
142 450.4291010069808 0.022 -0.03 -0.001 tensor(318.5311)
143 447.89125458097703 0.031 -29.204 0.0 tensor(317.2268)
144 460.30557950024996 0.022 -0.548 0.001 tensor(325.3205)
145 456.59551666350274 0.024 0.989 -0.0 tensor(323.4978)
146 449.01501999901967 0.024 -1.19 -0.0 tensor(318.1805)
147 484.64984554684884 0.019 -5.841 -0.0 tensor(339.9372)
