/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:343: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, act, adv, logp_old = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'),torch.tensor(data['act'],dtype=torch.float,device='cuda:0'), torch.tensor(data['adv'],dtype=torch.float,device='cuda:0'), torch.tensor(data['logp'],dtype=torch.float,device='cuda:0')
/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:363: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, ret = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'), torch.tensor(data['ret'],dtype=torch.float,device='cuda:0')
120 874.7283982915794 0.236 1.846 0.0
121 433.9990480059221 0.256 -4.72 0.0
122 856.3911719684892 0.176 -0.823 0.0
123 863.4985551596069 0.25 -22.732 0.0
124 9.991058527906185 0.126 -1.47 0.0
125 880.1114126870175 0.174 -26.234 0.0
126 333.8927625405046 0.095 1.643 0.0
127 860.2451044627844 0.05 -5.127 0.0
128 884.7114975626978 0.453 0.317 0.0
129 413.9333393496538 0.286 -0.188 0.0
130 884.200801897405 0.123 -15.337 0.0
131 895.6118670415792 0.28 -0.577 0.0
132 866.2794048250057 0.241 -8.072 0.0
133 845.1712128935377 0.029 -1.561 0.0
134 861.777831097125 0.05 -1.004 0.0
135 879.8255668734973 0.138 -6.354 0.0
136 863.5494093977911 0.055 -3.206 0.0
137 105.11114378688052 0.451 0.877 0.0
138 54.084450376971915 0.415 -6.417 0.0
139 878.3731027988562 0.223 -1.092 0.0
140 877.8990280631967 0.304 -34.277 0.0
141 889.6084441299543 0.06 -23.7 0.0
142 859.9986511111588 0.331 2.66 0.0
143 164.8945554473038 0.037 -18.411 0.0
144 158.13741895673087 0.274 0.88 0.0
145 865.4898081971244 0.448 -7.54 0.0
146 23.10439620141996 0.045 0.926 0.0
147 840.976650286733 0.043 -3.494 0.0
148 89.07400211071402 0.244 -21.623 0.0
149 862.8961117115425 0.151 -1.025 0.0
150 98.60614175839902 0.28 0.318 0.0
151 34.769095250698285 0.047 -28.761 0.0
152 874.9663251425719 0.139 1.752 0.0
153 876.40384589278 0.012 -8.702 0.0
154 877.018559528748 0.4 2.273 0.0
155 884.125900447428 0.189 -1.227 0.0
156 872.0221973299895 0.384 -2.07 0.0
157 891.3230763720792 0.162 -2.462 0.0
158 866.2204116561047 0.116 -1.121 0.0
159 68.58360455592202 0.217 -5.851 0.0
160 865.6968453905963 0.122 -1.4 0.0
161 857.130977096801 0.267 -5.074 0.0
